clock,avg_frame_bitrate,frame_bitrate_deviation,black_ratio_in_view,is_rebuffer,latency,download_data_in_interval
0,0,0,0,True,10.0,390000.0
10,0,0,0,True,20.0,390000.0
20,0,0,0,True,30.0,390000.0
30,0,0,0,True,40.0,390000.0
40,0,0,0,True,50.0,390000.0
50,0,0,0,True,60.0,390000.0
60,0,0,0,True,70.0,390000.0
70,0,0,0,True,80.0,390000.0
80,0,0,0,True,90.0,390000.0
90,0,0,0,True,100.0,390000.0
100,0,0,0,True,110.0,390000.0
110,0,0,0,True,120.0,390000.0
120,0,0,0,True,130.0,390000.0
130,0,0,0,True,140.0,390000.0
140,0,0,0,True,150.0,390000.0
150,0,0,0,True,160.0,390000.0
160,0,0,0,True,170.0,390000.0
170,0,0,0,True,180.0,390000.0
180,0,0,0,True,190.0,390000.0
190,0,0,0,True,200.0,390000.0
200,0,0,0,True,210.0,390000.0
210,0,0,0,True,220.0,390000.0
220,0,0,0,True,230.0,390000.0
230,0,0,0,True,240.0,390000.0
240,0,0,0,True,250.0,390000.0
250,0,0,0,True,260.0,390000.0
260,0,0,0,True,270.0,390000.0
270,0,0,0,True,280.0,390000.0
280,0,0,0,True,290.0,390000.0
290,0,0,0,True,300.0,390000.0
300,0,0,0,True,310.0,390000.0
310,0,0,0,True,320.0,390000.0
320,0,0,0,True,330.0,390000.0
330,0,0,0,True,340.0,390000.0
340,0,0,0,True,350.0,390000.0
350,0,0,0,True,360.0,390000.0
360,0,0,0,True,370.0,390000.0
370,0,0,0,True,380.0,390000.0
380,0,0,0,True,390.0,390000.0
390,0,0,0,True,400.0,390000.0
400,0,0,0,True,410.0,390000.0
410,0,0,0,True,420.0,390000.0
420,0,0,0,True,430.0,390000.0
430,0,0,0,True,440.0,390000.0
440,0,0,0,True,450.0,390000.0
450,0,0,0,True,460.0,390000.0
460,0,0,0,True,470.0,390000.0
470,0,0,0,True,480.0,390000.0
480,0,0,0,True,490.0,390000.0
490,0,0,0,True,500.0,390000.0
500,0,0,0,True,510.0,390000.0
510,0,0,0,True,520.0,390000.0
520,0,0,0,True,530.0,390000.0
530,0,0,0,True,540.0,390000.0
540,0,0,0,True,550.0,390000.0
550,0,0,0,True,560.0,390000.0
560,0,0,0,True,570.0,390000.0
570,0,0,0,True,580.0,390000.0
580,0,0,0,True,590.0,390000.0
590,0,0,0,True,600.0,390000.0
600,0,0,0,True,610.0,390000.0
610,0,0,0,True,620.0,390000.0
620,0,0,0,True,630.0,390000.0
630,0,0,0,True,640.0,390000.0
640,0,0,0,True,650.0,390000.0
650,0,0,0,True,660.0,390000.0
660,0,0,0,True,670.0,390000.0
670,0,0,0,True,680.0,390000.0
680,0,0,0,True,690.0,390000.0
690,0,0,0,True,700.0,390000.0
700,0,0,0,True,710.0,390000.0
710,0,0,0,True,720.0,390000.0
720,0,0,0,True,730.0,390000.0
730,0,0,0,True,740.0,390000.0
740,0,0,0,True,750.0,390000.0
750,0,0,0,True,760.0,390000.0
760,0,0,0,True,770.0,390000.0
770,0,0,0,True,780.0,390000.0
780,0,0,0,True,790.0,390000.0
790,0,0,0,True,800.0,390000.0
800,0,0,0,True,810.0,390000.0
810,0,0,0,True,820.0,390000.0
820,0,0,0,True,830.0,390000.0
830,0,0,0,True,840.0,390000.0
840,0,0,0,True,850.0,390000.0
850,0,0,0,True,860.0,390000.0
860,0,0,0,True,870.0,390000.0
870,0,0,0,True,880.0,390000.0
880,0,0,0,True,890.0,390000.0
890,0,0,0,True,900.0,390000.0
900,0,0,0,True,910.0,390000.0
910,0,0,0,True,920.0,390000.0
920,0,0,0,True,930.0,390000.0
930,0,0,0,True,940.0,390000.0
940,0,0,0,True,950.0,390000.0
950,0,0,0,True,960.0,390000.0
960,0,0,0,True,970.0,390000.0
970,0,0,0,True,980.0,390000.0
980,0,0,0,True,990.0,390000.0
990,0,0,0,True,1000.0,390000.0
1000,0,0,0,True,1010.0,585000.0
1010,0,0,0,True,1020.0,585000.0
1020,0,0,0,True,1030.0,585000.0
1030,0,0,0,True,1040.0,585000.0
1040,0,0,0,True,1050.0,585000.0
1050,0,0,0,True,1060.0,585000.0
1060,0,0,0,True,1070.0,585000.0
1070,0,0,0,True,1080.0,585000.0
1080,0,0,0,True,1090.0,585000.0
1090,0,0,0,True,1100.0,585000.0
1100,0,0,0,True,1110.0,585000.0
1110,0,0,0,True,1120.0,585000.0
1120,0,0,0,True,1130.0,585000.0
1130,0,0,0,True,1140.0,585000.0
1140,0,0,0,True,1150.0,585000.0
1150,0,0,0,True,1160.0,585000.0
1160,0,0,0,True,1170.0,585000.0
1170,0,0,0,True,1180.0,585000.0
1180,0,0,0,True,1190.0,585000.0
1190,0,0,0,True,1200.0,585000.0
1200,0,0,0,True,1210.0,585000.0
1210,0,0,0,True,1220.0,585000.0
1220,0,0,0,True,1230.0,585000.0
1230,0,0,0,True,1240.0,585000.0
1240,0,0,0,True,1250.0,585000.0
1250,0,0,0,True,1260.0,585000.0
1260,0,0,0,True,1270.0,585000.0
1270,0,0,0,True,1280.0,585000.0
1280,0,0,0,True,1290.0,585000.0
1290,0,0,0,True,1300.0,585000.0
1300,0,0,0,True,1310.0,585000.0
1310,0,0,0,True,1320.0,585000.0
